baseline,scenario,success_rate_mean,success_rate_std,attack_success_rate_allow_mean,attack_success_rate_allow_std,attack_success_rate_non_deny_mean,attack_success_rate_non_deny_std,cost_leakage_tokens_mean,cost_leakage_tokens_std,false_reject_rate_mean,false_reject_rate_std,throttle_rate_mean,throttle_rate_std,p50_ms_mean,p50_ms_std,p95_ms_mean,p95_ms_std,risk_p50_mean,risk_p50_std,risk_p90_mean,risk_p90_std,attack_allow_count_mean,attack_throttle_count_mean,overall_auroc_mean,overall_prauc_mean,non_deny_auroc_mean,non_deny_prauc_mean,ece_official_mean,base_attack_rate_non_deny,n_non_deny,n_attack_non_deny,n_benign_non_deny,non_deny_p_at_10,non_deny_p_at_30,non_deny_p_at_50,non_deny_p_at_100,non_deny_p_at_200,non_deny_r_at_10,non_deny_r_at_30,non_deny_r_at_50,non_deny_r_at_100,non_deny_r_at_200,non_deny_lift_at_10,non_deny_lift_at_30,non_deny_lift_at_50,non_deny_lift_at_100,non_deny_lift_at_200,non_deny_p_at_30_ci_low,non_deny_p_at_30_ci_high,non_deny_p_at_100_ci_low,non_deny_p_at_100_ci_high,non_deny_lift_at_30_ci_low,non_deny_lift_at_30_ci_high,non_deny_lift_at_100_ci_low,non_deny_lift_at_100_ci_high,non_deny_pr_auc_ci_low,non_deny_pr_auc_ci_high,base_attack_rate_ci_low,base_attack_rate_ci_high,sr_benign,frr_benign,throttle_benign,p95_benign,asr_allow_attack,asr_non_deny_attack,cost_attack,throttle_attack,p95_attack
B0,S1_benign_control_hard,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,2250.00,0.00,0.0000,0.0000,0.0000,0.0000,0.867,0.022,1.669,0.215,-1.0000,0.0000,-1.0000,0.0000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,S1_key_leak,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,408.00,0.00,0.0000,0.0000,0.0000,0.0000,0.911,0.051,1.474,0.225,-1.0000,0.0000,-1.0000,0.0000,24.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,S1_key_leak_hard,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,520.00,0.00,0.0000,0.0000,0.0000,0.0000,0.766,0.060,1.387,0.071,-1.0000,0.0000,-1.0000,0.0000,30.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,S1_restricted_issuance_hard,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1384.00,0.00,0.0000,0.0000,0.0000,0.0000,0.835,0.020,1.320,0.149,-1.0000,0.0000,-1.0000,0.0000,80.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,S2_benign_control_hard,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,2052.00,0.00,0.0000,0.0000,0.0000,0.0000,0.871,0.089,1.769,0.443,-1.0000,0.0000,-1.0000,0.0000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,S2_delegated_misuse_hard,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1216.00,0.00,0.0000,0.0000,0.0000,0.0000,0.818,0.058,1.573,0.209,-1.0000,0.0000,-1.0000,0.0000,80.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,S2_token_leak,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,530.00,0.00,0.0000,0.0000,0.0000,0.0000,0.714,0.035,1.674,0.386,-1.0000,0.0000,-1.0000,0.0000,30.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,S2_token_leak_hard,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,760.00,0.00,0.0000,0.0000,0.0000,0.0000,0.787,0.023,1.356,0.236,-1.0000,0.0000,-1.0000,0.0000,50.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,S2a_token_leak_missing_dpop,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,315.00,0.00,0.0000,0.0000,0.0000,0.0000,0.953,0.087,1.518,0.229,-1.0000,0.0000,-1.0000,0.0000,15.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,S2b_token_leak_wrong_key_dpop,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,320.00,0.00,0.0000,0.0000,0.0000,0.0000,0.975,0.226,1.577,0.331,-1.0000,0.0000,-1.0000,0.0000,15.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,S3_benign_control_hard,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1819.00,0.00,0.0000,0.0000,0.0000,0.0000,0.800,0.014,1.701,0.214,-1.0000,0.0000,-1.0000,0.0000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,S3_replay,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,500.00,0.00,0.0000,0.0000,0.0000,0.0000,0.858,0.050,1.250,0.162,-1.0000,0.0000,-1.0000,0.0000,30.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,S3_replay_blended_hard,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1120.00,0.00,0.0000,0.0000,0.0000,0.0000,0.887,0.010,1.797,0.328,-1.0000,0.0000,-1.0000,0.0000,80.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
